id,role,permission_id,created_at
1003,director,364,2025-08-01 13:32:57.934144
1004,director,365,2025-08-01 13:32:57.940874
1005,manager,1,2025-08-01 13:32:57.945666
1006,manager,2,2025-08-01 13:32:57.949483
1007,manager,3,2025-08-01 13:32:57.95417
1008,manager,361,2025-08-01 13:32:57.957918
1009,manager,5,2025-08-01 13:32:57.965215
1010,manager,8,2025-08-01 13:32:57.969528
1011,manager,9,2025-08-01 13:32:57.973692
1012,manager,10,2025-08-01 13:32:57.977701
1013,manager,11,2025-08-01 13:32:57.983019
1014,manager,362,2025-08-01 13:32:57.986858
1015,manager,12,2025-08-01 13:32:57.990659
1016,manager,15,2025-08-01 13:32:57.994221
1017,manager,16,2025-08-01 13:32:58.000035
1018,manager,18,2025-08-01 13:32:58.006335
1019,manager,19,2025-08-01 13:32:58.013473
1020,manager,20,2025-08-01 13:32:58.019095
1021,manager,365,2025-08-01 13:32:58.025073
1022,production,1,2025-08-01 13:32:58.031226
1023,production,5,2025-08-01 13:32:58.036349
1024,production,8,2025-08-01 13:32:58.04076
1025,production,12,2025-08-01 13:32:58.046505
1026,production,13,2025-08-01 13:32:58.050765
1027,production,14,2025-08-01 13:32:58.057536
1028,production,363,2025-08-01 13:32:58.062606
1029,production,15,2025-08-01 13:32:58.068346
1030,production,17,2025-08-01 13:32:58.072768
1031,production,364,2025-08-01 13:32:58.077646
1032,production,18,2025-08-01 13:32:58.082095
1033,warehouse,1,2025-08-01 13:32:58.089357
1034,warehouse,361,2025-08-01 13:32:58.094716
1035,warehouse,5,2025-08-01 13:32:58.099274
1036,warehouse,6,2025-08-01 13:32:58.105185
1037,warehouse,8,2025-08-01 13:32:58.110381
1038,warehouse,18,2025-08-01 13:32:58.115396
1039,warehouse,20,2025-08-01 13:32:58.120113
1040,warehouse,365,2025-08-01 13:32:58.12541
1104,warehouse,20,2025-08-01 13:35:00.113376
1105,warehouse,365,2025-08-01 13:35:00.121085
1106,director,1,2025-08-01 13:43:39.455566
1107,director,2,2025-08-01 13:43:39.460842
1108,director,3,2025-08-01 13:43:39.465217
1109,director,4,2025-08-01 13:43:39.470446
1110,director,5,2025-08-01 13:43:39.475116
1111,director,6,2025-08-01 13:43:39.479117
1112,director,7,2025-08-01 13:43:39.484566
1113,director,8,2025-08-01 13:43:39.488741
1114,director,9,2025-08-01 13:43:39.494755
1115,director,10,2025-08-01 13:43:39.498756
1116,director,11,2025-08-01 13:43:39.504723
1117,director,12,2025-08-01 13:43:39.509036
1118,director,13,2025-08-01 13:43:39.513085
1119,director,14,2025-08-01 13:43:39.517791
1120,director,15,2025-08-01 13:43:39.521946
1121,director,16,2025-08-01 13:43:39.526201
1122,director,17,2025-08-01 13:43:39.530876
1123,director,18,2025-08-01 13:43:39.535455
1124,director,19,2025-08-01 13:43:39.551202
1125,director,20,2025-08-01 13:43:39.558023
1126,director,21,2025-08-01 13:43:39.565885
1127,director,22,2025-08-01 13:43:39.573598
1128,director,23,2025-08-01 13:43:39.579462
1129,director,24,2025-08-01 13:43:39.587415
1130,director,361,2025-08-01 13:43:39.593945
1131,director,362,2025-08-01 13:43:39.598863
1132,director,363,2025-08-01 13:43:39.605832
1133,director,364,2025-08-01 13:43:39.613512
1134,director,365,2025-08-01 13:43:39.619888
1135,manager,1,2025-08-01 13:43:39.624326
1136,manager,2,2025-08-01 13:43:39.633922
1137,manager,3,2025-08-01 13:43:39.641106
1138,manager,361,2025-08-01 13:43:39.644942
1139,manager,5,2025-08-01 13:43:39.653349
1140,manager,8,2025-08-01 13:43:39.658975
1141,manager,9,2025-08-01 13:43:39.663156
1142,manager,10,2025-08-01 13:43:39.667352
1143,manager,11,2025-08-01 13:43:39.672776
1144,manager,362,2025-08-01 13:43:39.676697
1145,manager,12,2025-08-01 13:43:39.681007
1146,manager,15,2025-08-01 13:43:39.685036
1147,manager,16,2025-08-01 13:43:39.689569
1148,manager,18,2025-08-01 13:43:39.694071
1149,manager,19,2025-08-01 13:43:39.698296
1150,manager,20,2025-08-01 13:43:39.70558
1151,manager,365,2025-08-01 13:43:39.710352
1152,production,1,2025-08-01 13:43:39.714495
1153,production,5,2025-08-01 13:43:39.719003
1154,production,8,2025-08-01 13:43:39.725053
1155,production,12,2025-08-01 13:43:39.729689
1156,production,13,2025-08-01 13:43:39.734188
1157,production,14,2025-08-01 13:43:39.739068
1158,production,363,2025-08-01 13:43:39.747335
1159,production,15,2025-08-01 13:43:39.753409
1160,production,17,2025-08-01 13:43:39.757818
1161,production,364,2025-08-01 13:43:39.764197
1162,production,18,2025-08-01 13:43:39.773468
1163,warehouse,1,2025-08-01 13:43:39.7898
1164,warehouse,361,2025-08-01 13:43:39.794935
1165,warehouse,5,2025-08-01 13:43:39.799836
1166,warehouse,6,2025-08-01 13:43:39.806059
1167,warehouse,8,2025-08-01 13:43:39.811119
1168,warehouse,18,2025-08-01 13:43:39.815679
1169,warehouse,20,2025-08-01 13:43:39.820561
1170,warehouse,365,2025-08-01 13:43:39.824687
1171,director,1,2025-08-01 13:52:35.003484
1172,director,2,2025-08-01 13:52:35.009787
1173,director,3,2025-08-01 13:52:35.016853
1174,director,4,2025-08-01 13:52:35.02144
1175,director,5,2025-08-01 13:52:35.02635
1176,director,6,2025-08-01 13:52:35.032215
1177,director,7,2025-08-01 13:52:35.036117
1178,director,8,2025-08-01 13:52:35.039759
1179,director,9,2025-08-01 13:52:35.043281
1180,director,10,2025-08-01 13:52:35.047237
1181,director,11,2025-08-01 13:52:35.052221
1182,director,12,2025-08-01 13:52:35.059196
1183,director,13,2025-08-01 13:52:35.063215
1184,director,14,2025-08-01 13:52:35.066884
1185,director,15,2025-08-01 13:52:35.070611
1186,director,16,2025-08-01 13:52:35.074641
1187,director,17,2025-08-01 13:52:35.078286
1188,director,18,2025-08-01 13:52:35.082728
1189,director,19,2025-08-01 13:52:35.087863
1190,director,20,2025-08-01 13:52:35.096608
1191,director,21,2025-08-01 13:52:35.116726
1192,director,22,2025-08-01 13:52:35.121818
1193,director,23,2025-08-01 13:52:35.12787
1194,director,24,2025-08-01 13:52:35.135194
1195,director,361,2025-08-01 13:52:35.13906
1196,director,362,2025-08-01 13:52:35.144555
1197,director,363,2025-08-01 13:52:35.148394
1198,director,364,2025-08-01 13:52:35.154244
1199,director,365,2025-08-01 13:52:35.159086
1200,manager,1,2025-08-01 13:52:35.163452
1201,manager,2,2025-08-01 13:52:35.168183
1202,manager,3,2025-08-01 13:52:35.172837
1203,manager,361,2025-08-01 13:52:35.176537
1204,manager,5,2025-08-01 13:52:35.180579
1205,manager,8,2025-08-01 13:52:35.190642
1206,manager,9,2025-08-01 13:52:35.197607
1207,manager,10,2025-08-01 13:52:35.204153
1208,manager,11,2025-08-01 13:52:35.208645
1209,manager,362,2025-08-01 13:52:35.214567
1210,manager,12,2025-08-01 13:52:35.219216
1211,manager,15,2025-08-01 13:52:35.224346
1212,manager,16,2025-08-01 13:52:35.228736
1213,manager,18,2025-08-01 13:52:35.23966
1214,manager,19,2025-08-01 13:52:35.247371
